PositionX,PositionY,PositionZ
-58,-10,0
-58.1,-10,0
-58.2,-10,0
-58.3,-10,0
-58.39999,-10,0
-58.39999,-10,0
-58.4707,-9.929289,0
-58.4707,-9.929289,0
-58.54141,-9.858578,0
-58.54141,-9.858578,0
-58.61212,-9.787867,0
-58.61212,-9.787867,0
-58.68283,-9.717155,0
-58.68283,-9.717155,0
-58.75354,-9.646444,0
-58.75354,-9.646444,0
-58.75354,-9.646444,0
-58.75354,-9.546444,0
-58.75354,-9.546444,0
-58.75354,-9.546444,0
-58.75354,-9.446444,0
-58.75354,-9.446444,0
-58.68283,-9.375732,0
-58.68283,-9.375732,0
-58.61212,-9.305021,0
-58.61212,-9.305021,0
-58.54141,-9.23431,0
-58.54141,-9.23431,0
-58.4707,-9.163599,0
-58.4707,-9.163599,0
-58.39999,-9.092888,0
-58.39999,-9.092888,0
-58.32928,-9.022177,0
-58.32928,-9.022177,0
-58.25858,-8.951466,0
-58.25858,-8.951466,0
-58.18787,-8.880754,0
-58.18787,-8.880754,0
-58.11716,-8.810043,0
-58.11716,-8.810043,0
-58.04645,-8.739332,0
-58.04645,-8.739332,0
-57.97574,-8.668621,0
-57.97574,-8.668621,0
-57.90503,-8.59791,0
-57.80503,-8.59791,0
-57.70503,-8.59791,0
-57.60503,-8.59791,0
-57.50504,-8.59791,0
-57.40504,-8.59791,0
-57.30504,-8.59791,0
-57.30504,-8.59791,0
-57.23433,-8.668621,0
-57.23433,-8.668621,0
-57.16362,-8.739332,0
-57.16362,-8.839333,0
-57.16362,-8.839333,0
-57.23433,-8.910044,0
-57.23433,-8.910044,0
-57.30504,-8.980755,0
-57.30504,-8.980755,0
-57.37575,-9.051466,0
-57.37575,-9.051466,0
-57.44646,-9.122177,0
-57.44646,-9.122177,0
-57.51717,-9.192888,0
-57.51717,-9.192888,0
-57.58788,-9.263599,0
-57.58788,-9.263599,0
-57.65858,-9.334311,0
-57.65858,-9.334311,0
-57.72929,-9.405022,0
-57.72929,-9.405022,0
-57.72929,-9.405022,0
-57.72929,-9.505022,0
-57.72929,-9.505022,0
-57.72929,-9.505022,0
-57.72929,-9.605022,0
-57.72929,-9.605022,0
-57.65858,-9.675734,0
-57.65858,-9.675734,0
-57.58788,-9.746445,0
-57.58788,-9.746445,0
-57.51717,-9.817156,0
-57.51717,-9.817156,0
-57.51717,-9.817156,0
-57.51717,-9.917156,0
-57.61716,-9.917156,0
-57.71716,-9.917156,0
-57.81716,-9.917156,0
-57.91716,-9.917156,0
-58.01716,-9.917156,0
-58.01716,-9.917156,0
-58.01716,-9.917156,0
-58.01716,-10.01716,0
-58.01716,-10.01716,0
-57.94645,-10.08787,0
-57.94645,-10.08787,0
-57.87574,-10.15858,0
-57.87574,-10.15858,0
-57.87574,-10.15858,0
-57.87574,-10.25858,0
-57.87574,-10.25858,0
-57.87574,-10.25858,0
-57.97574,-10.25858,0
-58.07574,-10.25858,0
-58.17574,-10.25858,0
-58.17574,-10.25858,0
-58.17574,-10.25858,0
-58.17574,-10.25858,0
-58.17574,-10.25858,0
-58.17574,-10.35858,0
-58.17574,-10.35858,0
-58.10503,-10.42929,0
-58.10503,-10.42929,0
-58.03432,-10.5,0
-58.03432,-10.5,0
-58.03432,-10.5,0
-58.03432,-10.6,0
-58.03432,-10.6,0
-58.10503,-10.67071,0
-58.20502,-10.67071,0
-58.30502,-10.67071,0
-58.30502,-10.67071,0
-58.30502,-10.67071,0
-58.30502,-10.77071,0
-58.30502,-10.77071,0
-58.30502,-10.77071,0
-58.30502,-10.87071,0
-58.30502,-10.87071,0
-58.23431,-10.94143,0
-58.23431,-10.94143,0
-58.1636,-11.01214,0
-58.1636,-11.11214,0
-58.1636,-11.21214,0
-58.1636,-11.31214,0
-58.1636,-11.41214,0
-58.1636,-11.51214,0
-58.1636,-11.61214,0
-58.1636,-11.71214,0
-58.1636,-11.81214,0
-58.1636,-11.91214,0
-58.1636,-11.91214,0
-58.23431,-11.98285,0
-58.23431,-11.98285,0
-58.30502,-12.05356,0
-58.30502,-12.05356,0
-58.37573,-12.12427,0
-58.37573,-12.12427,0
-58.37573,-12.12427,0
-58.37573,-12.22427,0
-58.37573,-12.22427,0
-58.37573,-12.22427,0
-58.37573,-12.32427,0
-58.37573,-12.32427,0
-58.37573,-12.32427,0
-58.37573,-12.42427,0
-58.37573,-12.42427,0
-58.30502,-12.49499,0
-58.30502,-12.49499,0
-58.23431,-12.5657,0
-58,-10,0
-58,-9.9,0
-58,-9.799999,0
-58,-9.699999,0
-58,-9.599998,0
-58,-9.499998,0
-58,-9.399998,0
-58,-9.299997,0
-58,-9.199997,0
-58,-9.099997,0
-58,-8.999996,0
-58,-8.899996,0
-58,-8.799995,0
-58,-8.699995,0
-58.1,-8.699995,0
-58.2,-8.699995,0
-58.3,-8.699995,0
-58.39999,-8.699995,0
-58.49999,-8.699995,0
-58.59999,-8.699995,0
-58.69999,-8.699995,0
-58.79999,-8.699995,0
-58.89999,-8.699995,0
-58.99998,-8.699995,0
-59.09998,-8.699995,0
-59.19998,-8.699995,0
-59.29998,-8.699995,0
-59.39998,-8.699995,0
-59.49998,-8.699995,0
-59.59998,-8.699995,0
-59.69997,-8.699995,0
-59.79997,-8.699995,0
-59.79997,-8.699995,0
-59.87068,-8.629284,0
-59.87068,-8.629284,0
-59.94139,-8.558573,0
-59.94139,-8.558573,0
-60.0121,-8.487862,0
-60.0121,-8.487862,0
-60.08281,-8.41715,0
-60.08281,-8.41715,0
-60.15352,-8.346439,0
-60.15352,-8.346439,0
-60.22423,-8.275728,0
-60.22423,-8.275728,0
-60.29494,-8.205017,0
-60.29494,-8.205017,0
-60.36565,-8.134306,0
-60.36565,-8.134306,0
-60.43636,-8.063595,0
-60.43636,-8.063595,0
-60.50706,-7.992884,0
-60.50706,-7.992884,0
-60.57777,-7.922174,0
-60.57777,-7.922174,0
-60.64848,-7.851463,0
-60.64848,-7.851463,0
-60.71919,-7.780752,0
-60.71919,-7.780752,0
-60.7899,-7.710042,0
-60.7899,-7.710042,0
-60.86061,-7.639331,0
-60.86061,-7.539331,0
-60.86061,-7.439331,0
-60.86061,-7.339331,0
-60.86061,-7.239331,0
-60.86061,-7.139331,0
-60.86061,-7.039331,0
-60.86061,-6.939332,0
-60.86061,-6.839332,0
-60.86061,-6.739332,0
-60.86061,-6.639332,0
-60.86061,-6.539332,0
-60.86061,-6.439332,0
-60.86061,-6.439332,0
-60.7899,-6.368621,0
-60.7899,-6.368621,0
-60.71919,-6.297911,0
-60.71919,-6.297911,0
-60.64848,-6.2272,0
-60.64848,-6.2272,0
-60.57777,-6.156489,0
-60.57777,-6.156489,0
-60.50706,-6.085779,0
-60.50706,-6.085779,0
-60.43636,-6.015068,0
-60.43636,-6.015068,0
-60.36565,-5.944357,0
-60.36565,-5.944357,0
-60.29494,-5.873647,0
-60.29494,-5.873647,0
-60.22423,-5.802936,0
-60.22423,-5.802936,0
-60.15352,-5.732225,0
-60.15352,-5.732225,0
-60.08281,-5.661515,0
-60.08281,-5.661515,0
-60.0121,-5.590804,0
-60.0121,-5.590804,0
-59.94139,-5.520093,0
-59.94139,-5.520093,0
-59.87068,-5.449383,0
-59.87068,-5.449383,0
-59.79997,-5.378672,0
-59.79997,-5.378672,0
-59.72926,-5.307961,0
-59.72926,-5.307961,0
-59.65855,-5.237251,0
-59.65855,-5.237251,0
-59.58784,-5.16654,0
-59.58784,-5.16654,0
-59.51714,-5.095829,0
-59.51714,-5.095829,0
-59.44643,-5.025119,0
-59.44643,-5.025119,0
-59.37572,-4.954408,0
-59.37572,-4.954408,0
-59.30501,-4.883698,0
-59.30501,-4.883698,0
-59.2343,-4.812987,0
-59.2343,-4.812987,0
-59.16359,-4.742276,0
-59.16359,-4.742276,0
-59.09288,-4.671566,0
-59.09288,-4.671566,0
-59.02217,-4.600855,0
-59.02217,-4.600855,0
-58.95146,-4.530144,0
-58.95146,-4.530144,0
-58.88075,-4.459434,0
-58.88075,-4.459434,0
-58.81004,-4.388723,0
-58.81004,-4.388723,0
-58.73933,-4.318012,0
-58.73933,-4.318012,0
-58.66862,-4.247302,0
-58.66862,-4.247302,0
-58.59792,-4.176591,0
-58.59792,-4.176591,0
-58.52721,-4.10588,0
-58.52721,-4.10588,0
-58.4565,-4.03517,0
-58.4565,-4.03517,0
-58.38579,-3.964459,0
-58.38579,-3.964459,0
-58.31508,-3.893748,0
-58.31508,-3.893748,0
-58.24437,-3.823038,0
-58.24437,-3.823038,0
-58.17366,-3.752327,0
-58.17366,-3.752327,0
-58.10295,-3.681616,0
-58.10295,-3.681616,0
-58.03224,-3.610906,0
-58.03224,-3.610906,0
-57.96153,-3.540195,0
-57.96153,-3.540195,0
-57.89082,-3.469484,0
-57.89082,-3.469484,0
-57.82011,-3.398774,0
-57.82011,-3.398774,0
-57.82011,-3.398774,0
-57.82011,-3.298774,0
-57.82011,-3.298774,0
-57.82011,-3.298774,0
-57.82011,-3.198774,0
-57.82011,-3.198774,0
-57.82011,-3.198774,0
-57.82011,-3.098774,0
-57.82011,-3.098774,0
-57.89082,-3.028063,0
-57.89082,-3.028063,0
-57.96153,-2.957353,0
-57.96153,-2.957353,0
-58.03224,-2.886642,0
-58.03224,-2.886642,0
-58.10295,-2.815931,0
-58.10295,-2.815931,0
-58.17366,-2.745221,0
-58.17366,-2.745221,0
-58.24437,-2.67451,0
-58.24437,-2.67451,0
-58.31508,-2.603799,0
-58.31508,-2.603799,0
-58.38579,-2.533089,0
-58.38579,-2.533089,0
-58.4565,-2.462378,0
-58.4565,-2.462378,0
-58.52721,-2.391667,0
-58.52721,-2.391667,0
-58.59792,-2.320957,0
-58.59792,-2.320957,0
-58.66862,-2.250246,0
-58.66862,-2.250246,0
-58.73933,-2.179535,0
-58.73933,-2.079535,0
-58.73933,-2.079535,0
-58.66862,-2.008825,0
-58.66862,-2.008825,0
-58.59792,-1.938114,0
-58.59792,-1.938114,0
-58.52721,-1.867404,0
-58.52721,-1.867404,0
-58.4565,-1.796693,0
-58.4565,-1.796693,0
-58.38579,-1.725982,0
-58.38579,-1.725982,0
-58.31508,-1.655272,0
-58.31508,-1.655272,0
-58.24437,-1.584561,0
-58.24437,-1.584561,0
-58.17366,-1.51385,0
-58.17366,-1.51385,0
-58.10295,-1.44314,0
-58.10295,-1.44314,0
-58.03224,-1.372429,0
-58.03224,-1.372429,0
-57.96153,-1.301718,0
-57.96153,-1.301718,0
-57.89082,-1.231008,0
-57.89082,-1.231008,0
-57.82011,-1.160297,0
-57.82011,-1.160297,0
-57.7494,-1.089586,0
-57.7494,-1.089586,0
-57.6787,-1.018876,0
-57.6787,-1.018876,0
-57.60799,-0.9481649,0
-57.60799,-0.9481649,0
-57.60799,-0.9481649,0
-57.60799,-0.8481649,0
-57.60799,-0.8481649,0
-57.60799,-0.8481649,0
-57.60799,-0.7481649,0
-57.60799,-0.7481649,0
-57.6787,-0.6774542,0
-57.6787,-0.6774542,0
-57.7494,-0.6067436,0
-57.7494,-0.6067436,0
-57.82011,-0.5360329,0
-57.82011,-0.5360329,0
-57.89082,-0.4653223,0
-57.89082,-0.4653223,0
-57.96153,-0.3946116,0
-57.96153,-0.3946116,0
-58.03224,-0.3239009,0
-58.03224,-0.3239009,0
-58.10295,-0.2531903,0
-58.10295,-0.2531903,0
-58.17366,-0.1824796,0
-58.17366,-0.1824796,0
-58.24437,-0.1117689,0
-58.24437,-0.1117689,0
-58.31508,-0.04105826,0
-58.31508,-0.04105826,0
-58.38579,0.02965242,0
-58.38579,0.02965242,0
-58.4565,0.1003631,0
-58.4565,0.1003631,0
-58.52721,0.1710738,0
-58.52721,0.1710738,0
-58.52721,0.1710738,0
-58.52721,0.2710738,0
-58.52721,0.2710738,0
-58.4565,0.3417844,0
-58.4565,0.3417844,0
-58.38579,0.4124951,0
-58.38579,0.4124951,0
-58.31508,0.4832057,0
-58.31508,0.4832057,0
-58.24437,0.5539164,0
-58.24437,0.5539164,0
-58.17366,0.6246271,0
-58.17366,0.6246271,0
-58.10295,0.6953377,0
-58.10295,0.6953377,0
-58.03224,0.7660484,0
-58.03224,0.7660484,0
-57.96153,0.836759,0
-57.96153,0.836759,0
-57.89082,0.9074697,0
-57.89082,0.9074697,0
-57.82011,0.9781803,0
-57.82011,1.07818,0
-57.82011,1.07818,0
-57.89082,1.148891,0
-57.89082,1.148891,0
-57.96153,1.219602,0
-57.96153,1.219602,0
-58.03224,1.290312,0
-58.03224,1.290312,0
-58.10295,1.361023,0
-58.10295,1.361023,0
-58.17366,1.431734,0
-58.17366,1.431734,0
-58.24437,1.502444,0
-58.24437,1.502444,0
-58.2868,1.489573,0
-58.2868,1.489573,0
-58.32922,1.487927,0
-58.32922,1.487927,0
-58.37165,1.486873,0
-58.37165,1.486873,0
-58.41408,1.486199,0
-58.41408,1.486199,0
-58.4565,1.485767,0
-58.4565,1.485767,0
-58.49893,1.485491,0
-58.49893,1.485491,0
-58.54136,1.485314,0
-58.54136,1.485314,0
-58.58379,1.485201,0
-58.58379,1.485201,0
-58.62621,1.485129,0
-58.62621,1.485129,0
-58.66864,1.485083,0
-58.66864,1.485083,0
-58.71107,1.485053,0
-58.81107,1.485034,0
-58.91106,1.485022,0
-59.01106,1.485014,0
-59.11106,1.485009,0
-59.21106,1.485006,0
-59.31106,1.485004,0
-59.41106,1.485002,0
-59.51105,1.485002,0
-59.61105,1.485001,0
-59.71105,1.485001,0
-59.81105,1.485,0
-59.91105,1.485,0
-60.01105,1.485,0
-60.11105,1.485,0
-60.21104,1.485,0
